step,type,account,result,journal,ledger_index,hash,explorer
servicing:receipt,Payment,rJF3Sh6dfMdoeEhUE2npuJWaGBSJ54qFus,tesSUCCESS,validated,,968F6F38E38EE14FBCBD74C0374FBF00F0A792C28554795133C1BCCD54E2176C,https://testnet.xrpl.org/transactions/968F6F38E38EE14FBCBD74C0374FBF00F0A792C28554795133C1BCCD54E2176C
servicing:pi,Payment,rNMX6UVmofNPJLoHDrzcK1DHkZryyie417,tesSUCCESS,validated,,F6418103E4E20F385C464EE3378F3789C9E25A48986454062170571E70CF24DD,https://testnet.xrpl.org/transactions/F6418103E4E20F385C464EE3378F3789C9E25A48986454062170571E70CF24DD
servicing:tax,Payment,rNMX6UVmofNPJLoHDrzcK1DHkZryyie417,tesSUCCESS,validated,,A621B4B1A01DEB33297FF59166F8024218EEF674C7EEC0C8C5EA796627382F73,https://testnet.xrpl.org/transactions/A621B4B1A01DEB33297FF59166F8024218EEF674C7EEC0C8C5EA796627382F73
servicing:hazard,Payment,rNMX6UVmofNPJLoHDrzcK1DHkZryyie417,tesSUCCESS,validated,,6583E2695143C3AB4EE4E21DC0EF506523C5E9F5C58A906E0C6962108E490276,https://testnet.xrpl.org/transactions/6583E2695143C3AB4EE4E21DC0EF506523C5E9F5C58A906E0C6962108E490276
servicing:mip,Payment,rNMX6UVmofNPJLoHDrzcK1DHkZryyie417,tesSUCCESS,validated,,2892DDDD91108503BECEB03E8D38C31F28E655E3C960800166F7A66DF06ACE08,https://testnet.xrpl.org/transactions/2892DDDD91108503BECEB03E8D38C31F28E655E3C960800166F7A66DF06ACE08
servicing:mip_remit,Payment,rf7qRrUbtphcfY8bdL3b3gAuUS8ZusT2cj,tesSUCCESS,validated,,0FE8D31E4B8D5AA82613E3AB0B686F6F0F2A648FB97EE71B45BA2F2D3D0DF21B,https://testnet.xrpl.org/transactions/0FE8D31E4B8D5AA82613E3AB0B686F6F0F2A648FB97EE71B45BA2F2D3D0DF21B
servicing:receipt,Payment,rJF3Sh6dfMdoeEhUE2npuJWaGBSJ54qFus,tesSUCCESS,validated,,D0CEC7E22DDDEB46B389610E604785473C5364F60A514A1EE39643C15CBC9DD0,https://testnet.xrpl.org/transactions/D0CEC7E22DDDEB46B389610E604785473C5364F60A514A1EE39643C15CBC9DD0
servicing:pi,Payment,rNMX6UVmofNPJLoHDrzcK1DHkZryyie417,tesSUCCESS,validated,,93D0F24AB0F26397EF1389FE75D2EB29D229FC572588249BB46F528431B4CCF7,https://testnet.xrpl.org/transactions/93D0F24AB0F26397EF1389FE75D2EB29D229FC572588249BB46F528431B4CCF7
servicing:tax,Payment,rNMX6UVmofNPJLoHDrzcK1DHkZryyie417,tesSUCCESS,validated,,516CD4A781FA5AC37738B83F90B0E4ADDC5531830A0163E978C5613559BAAEB4,https://testnet.xrpl.org/transactions/516CD4A781FA5AC37738B83F90B0E4ADDC5531830A0163E978C5613559BAAEB4
servicing:hazard,Payment,rNMX6UVmofNPJLoHDrzcK1DHkZryyie417,tesSUCCESS,validated,,262ABE409E9E03C165403915FBE8016F2CBEF4EB07DE577F89F767FDC4E775AA,https://testnet.xrpl.org/transactions/262ABE409E9E03C165403915FBE8016F2CBEF4EB07DE577F89F767FDC4E775AA
servicing:mip,Payment,rNMX6UVmofNPJLoHDrzcK1DHkZryyie417,tesSUCCESS,validated,,CE5F9A09ECF4A51079A0EBF31CA3DF3146D4922BF63D4657496D12DC23629C41,https://testnet.xrpl.org/transactions/CE5F9A09ECF4A51079A0EBF31CA3DF3146D4922BF63D4657496D12DC23629C41
servicing:mip_remit,Payment,rf7qRrUbtphcfY8bdL3b3gAuUS8ZusT2cj,tesSUCCESS,validated,,7758DBDB5A8A73E0B0D0B312D83DA7C02107581F317DDBBF16CDAA4BDFD8237C,https://testnet.xrpl.org/transactions/7758DBDB5A8A73E0B0D0B312D83DA7C02107581F317DDBBF16CDAA4BDFD8237C
escrow,EscrowCreate,rBoFXsB28KvW9qXqQdQR95CmGRi7Ky4qXv,tesSUCCESS,,20651766,E0B81C324D870C512B669D17B95602C5B8E5EE0E6A4138D116487275E4A40873,https://testnet.xrpl.org/transactions/E0B81C324D870C512B669D17B95602C5B8E5EE0E6A4138D116487275E4A40873
escrow,EscrowFinish,rNMX6UVmofNPJLoHDrzcK1DHkZryyie417,tesSUCCESS,,20651774,28D31FDF40C5E9DE8073D8F380A8B00919A79C67EDD10EA966C8D97F281F88A2,https://testnet.xrpl.org/transactions/28D31FDF40C5E9DE8073D8F380A8B00919A79C67EDD10EA966C8D97F281F88A2
servicing:receipt,Payment,rJF3Sh6dfMdoeEhUE2npuJWaGBSJ54qFus,tesSUCCESS,validated,,95F85C9BC9397D86B39C6EC7B665A4EEE458DD2825C24B421B621D459A85B9BA,https://testnet.xrpl.org/transactions/95F85C9BC9397D86B39C6EC7B665A4EEE458DD2825C24B421B621D459A85B9BA
servicing:pi,Payment,rNMX6UVmofNPJLoHDrzcK1DHkZryyie417,tesSUCCESS,validated,,7F80DBE05E13D9AB592E96895211A0546EA340CB548AFD1507E23A58A2F92A1B,https://testnet.xrpl.org/transactions/7F80DBE05E13D9AB592E96895211A0546EA340CB548AFD1507E23A58A2F92A1B
servicing:tax,Payment,rNMX6UVmofNPJLoHDrzcK1DHkZryyie417,tesSUCCESS,validated,,47DD06FF58CBDE6E1AE637D940F99AEAAEFE8D0F60FCF56C9F41E959F011AE23,https://testnet.xrpl.org/transactions/47DD06FF58CBDE6E1AE637D940F99AEAAEFE8D0F60FCF56C9F41E959F011AE23
servicing:hazard,Payment,rNMX6UVmofNPJLoHDrzcK1DHkZryyie417,tesSUCCESS,validated,,E9242075B1E0E1595F2B3125E8C755DE2E7096EBEA7D92AF6B98C34F446636DC,https://testnet.xrpl.org/transactions/E9242075B1E0E1595F2B3125E8C755DE2E7096EBEA7D92AF6B98C34F446636DC
servicing:mip,Payment,rNMX6UVmofNPJLoHDrzcK1DHkZryyie417,tesSUCCESS,validated,,F24D774C99CA7F5190E347923BE368F43CA5665C4482B46D03731F98923F0546,https://testnet.xrpl.org/transactions/F24D774C99CA7F5190E347923BE368F43CA5665C4482B46D03731F98923F0546
servicing:mip_remit,Payment,rf7qRrUbtphcfY8bdL3b3gAuUS8ZusT2cj,tesSUCCESS,validated,,CE2EB36F01A5B88423FB0A7212D369E3CC4392BD049B6EE24E0BA643F4B3FC0C,https://testnet.xrpl.org/transactions/CE2EB36F01A5B88423FB0A7212D369E3CC4392BD049B6EE24E0BA643F4B3FC0C
servicing:receipt,Payment,rJF3Sh6dfMdoeEhUE2npuJWaGBSJ54qFus,tesSUCCESS,validated,,93F1083B27CEC7C5EE947E667663B06D00D816B98E6BB5FF20C60F5F8E59B4C8,https://testnet.xrpl.org/transactions/93F1083B27CEC7C5EE947E667663B06D00D816B98E6BB5FF20C60F5F8E59B4C8
servicing:pi,Payment,rNMX6UVmofNPJLoHDrzcK1DHkZryyie417,tesSUCCESS,validated,,2668D8B348E5A71C7AC8301A06323D9655FB96FEF750EDE45A40DEBA4C476CB6,https://testnet.xrpl.org/transactions/2668D8B348E5A71C7AC8301A06323D9655FB96FEF750EDE45A40DEBA4C476CB6
servicing:tax,Payment,rNMX6UVmofNPJLoHDrzcK1DHkZryyie417,tesSUCCESS,validated,,130169221A00862564699782F7C6D19E280610EEC7C431328672542B853CC6F9,https://testnet.xrpl.org/transactions/130169221A00862564699782F7C6D19E280610EEC7C431328672542B853CC6F9
servicing:hazard,Payment,rNMX6UVmofNPJLoHDrzcK1DHkZryyie417,tesSUCCESS,validated,,9AC418FFE0C65912B3C458862AEE1A1C5318DAF325943760EAD7FE17FEF075E3,https://testnet.xrpl.org/transactions/9AC418FFE0C65912B3C458862AEE1A1C5318DAF325943760EAD7FE17FEF075E3
servicing:mip,Payment,rNMX6UVmofNPJLoHDrzcK1DHkZryyie417,tesSUCCESS,validated,,6078D99EC5CE0AD5CABC34EAAA1EB2043F7C22784EE152D2BCE2D689C1EC0C8B,https://testnet.xrpl.org/transactions/6078D99EC5CE0AD5CABC34EAAA1EB2043F7C22784EE152D2BCE2D689C1EC0C8B
servicing:mip_remit,Payment,rf7qRrUbtphcfY8bdL3b3gAuUS8ZusT2cj,tesSUCCESS,validated,,624311BA467BA0013B5F047C4FF36B80AB7B2BEA573104E07F6F5E66A9B75BDE,https://testnet.xrpl.org/transactions/624311BA467BA0013B5F047C4FF36B80AB7B2BEA573104E07F6F5E66A9B75BDE
escrow,EscrowCreate,rsgP1oSMo4m84QzzXRWZVPK5u888Ds9Fvc,tesSUCCESS,,20651796,D3F56A4919BF926F5BC64AB209F6B1788AB346CE5018BC8320463ACDCBB87AE2,https://testnet.xrpl.org/transactions/D3F56A4919BF926F5BC64AB209F6B1788AB346CE5018BC8320463ACDCBB87AE2
escrow,EscrowFinish,rNMX6UVmofNPJLoHDrzcK1DHkZryyie417,tesSUCCESS,,20651803,E91F01824B315EFD83921FB093780A3A7E3E8EA51C38D9B2AA76A15B640FA072,https://testnet.xrpl.org/transactions/E91F01824B315EFD83921FB093780A3A7E3E8EA51C38D9B2AA76A15B640FA072
servicing:receipt,Payment,rJF3Sh6dfMdoeEhUE2npuJWaGBSJ54qFus,tesSUCCESS,validated,,CCC1C21F1CB0ADE99CD7B9955A27F5359CB22AA5BECF8A2B89F7E13FC1718B2F,https://testnet.xrpl.org/transactions/CCC1C21F1CB0ADE99CD7B9955A27F5359CB22AA5BECF8A2B89F7E13FC1718B2F
servicing:pi,Payment,rNMX6UVmofNPJLoHDrzcK1DHkZryyie417,tesSUCCESS,validated,,EED9B653841C0E8EB2E8A919D82890D0B501F3950CF68CCB40EB13DC282B7B31,https://testnet.xrpl.org/transactions/EED9B653841C0E8EB2E8A919D82890D0B501F3950CF68CCB40EB13DC282B7B31
servicing:tax,Payment,rNMX6UVmofNPJLoHDrzcK1DHkZryyie417,tesSUCCESS,validated,,A0E14EA271CE19D3113A716DD38DFA97C46412F7F1EA57DEC7442BFF74A1066F,https://testnet.xrpl.org/transactions/A0E14EA271CE19D3113A716DD38DFA97C46412F7F1EA57DEC7442BFF74A1066F
servicing:hazard,Payment,rNMX6UVmofNPJLoHDrzcK1DHkZryyie417,tesSUCCESS,validated,,E9B4FCE7ABDC1052A92FDE85E73316F2A74C6661FC4220594C1A3B49D98ADF17,https://testnet.xrpl.org/transactions/E9B4FCE7ABDC1052A92FDE85E73316F2A74C6661FC4220594C1A3B49D98ADF17
servicing:mip,Payment,rNMX6UVmofNPJLoHDrzcK1DHkZryyie417,tesSUCCESS,validated,,0019CF72FFA71A7CF42D840987C6748D865255B56A369B4E97A6710DA4350E29,https://testnet.xrpl.org/transactions/0019CF72FFA71A7CF42D840987C6748D865255B56A369B4E97A6710DA4350E29
servicing:mip_remit,Payment,rf7qRrUbtphcfY8bdL3b3gAuUS8ZusT2cj,tesSUCCESS,validated,,D14E04916FA00ADFEF870D9EDB743F00D070E9E709119744993805A4BB029D1E,https://testnet.xrpl.org/transactions/D14E04916FA00ADFEF870D9EDB743F00D070E9E709119744993805A4BB029D1E
servicing:receipt,Payment,rJF3Sh6dfMdoeEhUE2npuJWaGBSJ54qFus,tesSUCCESS,validated,,40D2DC43F19C52A40642DE189F0452C23D70DF903C98365B30DBEE89085F6EBD,https://testnet.xrpl.org/transactions/40D2DC43F19C52A40642DE189F0452C23D70DF903C98365B30DBEE89085F6EBD
servicing:pi,Payment,rNMX6UVmofNPJLoHDrzcK1DHkZryyie417,tesSUCCESS,validated,,EB63B29641B0F3AF141A5C312C9CF646F9246A759FEEDCFE697C31C4C69AC249,https://testnet.xrpl.org/transactions/EB63B29641B0F3AF141A5C312C9CF646F9246A759FEEDCFE697C31C4C69AC249
servicing:tax,Payment,rNMX6UVmofNPJLoHDrzcK1DHkZryyie417,tesSUCCESS,validated,,EEC38FABC43F82AE799B531A0845540CCB9C2F99DAF8C403AC57FD4038355E84,https://testnet.xrpl.org/transactions/EEC38FABC43F82AE799B531A0845540CCB9C2F99DAF8C403AC57FD4038355E84
servicing:hazard,Payment,rNMX6UVmofNPJLoHDrzcK1DHkZryyie417,tesSUCCESS,validated,,5F8E8C2410D4BE0930280FF7E635620396A3764591CF49B3BE1DACBA0E58A26B,https://testnet.xrpl.org/transactions/5F8E8C2410D4BE0930280FF7E635620396A3764591CF49B3BE1DACBA0E58A26B
servicing:mip,Payment,rNMX6UVmofNPJLoHDrzcK1DHkZryyie417,tesSUCCESS,validated,,6BA5A93EA36F110E811F8DC03F047C385F3C2CFF47D5C820C70F50281F2F439A,https://testnet.xrpl.org/transactions/6BA5A93EA36F110E811F8DC03F047C385F3C2CFF47D5C820C70F50281F2F439A
servicing:mip_remit,Payment,rf7qRrUbtphcfY8bdL3b3gAuUS8ZusT2cj,tesSUCCESS,validated,,CD4AB59ED8467E80155D3189D9FCF8AB64D3C838CA16E71C71EA2AF9D0227CEE,https://testnet.xrpl.org/transactions/CD4AB59ED8467E80155D3189D9FCF8AB64D3C838CA16E71C71EA2AF9D0227CEE
escrow,EscrowCreate,rsgP1oSMo4m84QzzXRWZVPK5u888Ds9Fvc,tesSUCCESS,,20651825,04DD1C290A53BAC355DB9708486587F6FBEC0710AE37458428F8C5DCF6C760C3,https://testnet.xrpl.org/transactions/04DD1C290A53BAC355DB9708486587F6FBEC0710AE37458428F8C5DCF6C760C3
escrow,EscrowCancel,rNMX6UVmofNPJLoHDrzcK1DHkZryyie417,tesSUCCESS,,20651836,30B6B9B07E35C57682072F0A7409D01BA44E080B6CAD650C1EB1E252381275B2,https://testnet.xrpl.org/transactions/30B6B9B07E35C57682072F0A7409D01BA44E080B6CAD650C1EB1E252381275B2
record,NFTokenCreateOffer,rNMX6UVmofNPJLoHDrzcK1DHkZryyie417,tesSUCCESS,,20651837,8CA2384C3332E62132A6026350F03E6EF0DCB1EC5B553538BA1F63C3FECF77DD,https://testnet.xrpl.org/transactions/8CA2384C3332E62132A6026350F03E6EF0DCB1EC5B553538BA1F63C3FECF77DD
record,NFTokenAcceptOffer,rPxzegVg3CswUxkXZDm6kNeWFXZsaq5TcB,tesSUCCESS,,20651839,90A3C58CBFAC5353D12698119B914C9D753D9103B606133D7189F615799C943D,https://testnet.xrpl.org/transactions/90A3C58CBFAC5353D12698119B914C9D753D9103B606133D7189F615799C943D
keys:signer-list,SignerListSet,rPxzegVg3CswUxkXZDm6kNeWFXZsaq5TcB,tesSUCCESS,,20651841,EB594675E4D5146B31AEEEF86814FD6CCF3FDF444F8B2C1D4421D3460AB7CDA3,https://testnet.xrpl.org/transactions/EB594675E4D5146B31AEEEF86814FD6CCF3FDF444F8B2C1D4421D3460AB7CDA3
keys:one-signer-refused,AccountSet,rPxzegVg3CswUxkXZDm6kNeWFXZsaq5TcB,tefBAD_QUORUM,,,,
keys:two-signers,AccountSet,rPxzegVg3CswUxkXZDm6kNeWFXZsaq5TcB,tesSUCCESS,,20651842,FC9BA1FC4721D82B221CEF892D52DDA639B9AC2DFEE6B5A9F91F29A65DACEE64,https://testnet.xrpl.org/transactions/FC9BA1FC4721D82B221CEF892D52DDA639B9AC2DFEE6B5A9F91F29A65DACEE64
keys,SetRegularKey,rPxzegVg3CswUxkXZDm6kNeWFXZsaq5TcB,tesSUCCESS,,20651844,ADB00A529137DC60A5EB8F59D1DA624A2114EC80E9AAEA632E4D6EA9F434FB2D,https://testnet.xrpl.org/transactions/ADB00A529137DC60A5EB8F59D1DA624A2114EC80E9AAEA632E4D6EA9F434FB2D
keys,AccountSet,rPxzegVg3CswUxkXZDm6kNeWFXZsaq5TcB,tesSUCCESS,,20651846,1789682DB1018D4891B64EB0D9DBD57C9937013991B5F60BF87A8A44CC2A75CC,https://testnet.xrpl.org/transactions/1789682DB1018D4891B64EB0D9DBD57C9937013991B5F60BF87A8A44CC2A75CC
keys,AccountSet,rPxzegVg3CswUxkXZDm6kNeWFXZsaq5TcB,tesSUCCESS,,20651848,B23D062AC835F7CA365183A6C4953B835063B751CBA5CA4527B1080FDC340B09,https://testnet.xrpl.org/transactions/B23D062AC835F7CA365183A6C4953B835063B751CBA5CA4527B1080FDC340B09
keys:master-refused,AccountSet,rPxzegVg3CswUxkXZDm6kNeWFXZsaq5TcB,tefMASTER_DISABLED,,,,
